dataset,k,alpha,method,cost,cost_dev,time,time_dev
phy,20,0.3,Algo1,318411291033.42694,153995516.12990797,1.8569593191146851,0.03292754599606523
phy,20,0.3,Det,316468004458.1725,0.0,1.7502922534942627,0.03392149022416033
phy,20,0.3,Ours,366522099518.8422,21639731012.432014,1.7494112253189087,0.022297695960901646
phy,20,0.3,Ours1,303758540696.5893,316029151.4555437,0.5275016784667969,0.020378906227591136
phy,20,0.3,Ours2,315184960970.9465,872116365.8742559,4.524430871009827,0.09255956646847456
phy,20,0.3,OPT,301928853178.951,0,0,0
phy,20,0.4,kmeans++,429169792710.0351,0,0,0
phy,20,0.4,Algo1,320845246655.3799,491710656.13115245,1.9291444778442384,0.09119059979012871
phy,20,0.4,Det,317528608732.3988,6.103515625e-05,1.818456220626831,0.07051364969415733
phy,20,0.4,Ours,415870999615.8164,53385542497.09711,1.8058233976364135,0.06552834090689548
phy,20,0.4,Ours1,336525249005.2831,2437029468.854891,0.5693212985992432,0.04676715544922765
phy,20,0.4,Ours2,320696705550.06104,3488853842.044919,4.701209378242493,0.24661323315175626
phy,20,0.4,OPT,291350263631.85034,0,0,0
phy,20,0.5,kmeans++,415697399018.3629,0,0,0
phy,20,0.5,Algo1,334978019816.9391,275572765.89995456,1.9077195882797242,0.018633842940928774
phy,20,0.5,Det,334184309292.07556,0.0,1.7941726922988892,0.022442506532527086
phy,20,0.5,Ours,605905831743.1569,71291943974.85202,1.7920274972915649,0.01882555593273782
phy,20,0.5,Ours1,536228845169.8301,8221622491.349087,0.5632774829864502,0.01168846816374628
phy,20,0.5,Ours2,352533569104.67346,8691770857.488075,4.650026869773865,0.08717818511989099
phy,20,0.5,OPT,301959945705.435,0,0,0
