dataset,k,alpha,method,cost,cost_dev,time,time_dev,nmi,nmi_dev,ari,ari_dev
usps,10,0.2,Ours1,345946.2083794725,994.3122259913468,0.5522237539291381,0.021301075456097416,0.8894241481919091,0.020524428617186126,0.8956501843958213,0.023715815153890474
usps,10,0.2,Ours2,351776.2011871488,104.84842353574564,7.124386239051819,0.31763733494007523,0.8942891463198277,0.002098405360060923,0.8971347642425902,0.002569908975615016
usps,10,0.2,OPT,338841.29792973096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
usps,20,0.2,kmeans++,440156.37662413175,11059.384878001256,0.048888993263244626,0.01541893942391502,0.5860495029518745,0.019885047441673395,0.46236750902759,0.05550015731104405
usps,20,0.2,Algo1,306318.21443692467,137.23920769001816,1.527640151977539,0.05508807174207006,0.8721660561608768,0.0012585078607576477,0.8561297488810332,0.0012758824336264439
usps,20,0.2,Det,298567.1420320318,5.820766091346741e-11,1.7175309896469115,0.0579796531322554,0.883406896297101,0.0,0.8730443459765505,0.0
usps,20,0.2,Ours,299445.46158926765,713.5166347580116,1.717346715927124,0.05221667986844899,0.8787691654257042,0.0078023226254916225,0.8708632145071016,0.010222668348426183
usps,20,0.2,Ours1,291588.3953316066,398.4979782368888,0.444016432762146,0.025502930701122813,0.9083812996492527,0.012849464284914545,0.907594256608579,0.016592631864680987
usps,20,0.2,Ours2,298591.65570537385,143.38786509648696,11.278480339050294,0.4835390976494142,0.8956720051201217,0.0010793074359228608,0.8908670805667743,0.0013081256763462373
usps,20,0.2,OPT,287133.77418976236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
usps,30,0.2,kmeans++,386527.6425842078,7324.184468500076,0.06753923892974853,0.013182140838393065,0.6173420792694725,0.017190447521127375,0.45701292610644406,0.055043764664930224
usps,30,0.2,Algo1,283068.40375109005,115.68448603211272,1.5221174955368042,0.063950703954865,0.8863672788506809,0.0015297374902752002,0.8737619756798871,0.0016705582481223533
usps,30,0.2,Det,275195.2083144026,0.0,1.6505216836929322,0.05595120294890124,0.9078296828502757,1.1102230246251565e-16,0.9051075249108653,1.1102230246251565e-16
usps,30,0.2,Ours,275797.6520696202,437.9496353295929,1.6538642168045044,0.05490907193094351,0.8960308054956408,0.006683799150469564,0.8904482957622282,0.008328282110953223
